,HN00157641_AMT60212,HN00157641_CPP6002,HN00158226_AMT-62212,HN00158226_AMT-62411,HN00158226_AMT-86116,HN00158226_AMT-912711,HN00158226_F1493,HN00158226_GS200142,HN00158226_K200742,HN00158226_TJ3-03,HN00160728_K40318,HN00161493_KY0014,HN00163376_AMT88628,HN00163376_FA111,HN00167634_C4-2,HN00167634_CPP0006,HN00167634_K200347,HN00171167_F3034,HN00171167_F3035,HN00171167_F3039,HN00171167_F3062,HN00171167_F3071,HN00173995_F3121,HN00173995_F3303,HN00173995_F3309,HN00173995_MK3-11,HN00173995_MK3-15,HN00173995_MK7-12,HN00173995_MK7-50,HN00173995_T10-36,HN00173995_T10-42,HN00175004_F3085,HN00175004_F3276,HN00175004_GS00019,HN00175004_GS00024,HN00175004_GS00026,HN00175004_MK2-49,HN00175486_F1015,HN00175486_F1049,HN00175486_F1319,HN00175486_F1320,HN00175486_F1321,HN00175486_F1331,HN00175486_F1340,HN00175486_F3127,HN00175486_F3142,HN00175486_F3161,HN00175486_F3168,HN00175486_F3177,HN00175486_F3230,HN00175486_F3232,HN00175486_GS00022,HN00175796_F3300,HN00175796_F3301,HN00175796_F3306,HN00175796_F3307,HN00175796_F3369,HN00175796_F3370,HN00175796_F3371,HN00175796_F3378,HN00175796_F3454,HN00175796_F3461,HN00175796_F3466,HN00175796_GS201401,HN00175796_GS201402,HN00175796_GS41424,HN00175796_GS41425,HN00176442_F3372,HN00176442_GS40304,HN00176442_GS40306,HN00176442_GS41429,HN00176442_GSY0003,HN00176442_GSY0007,HN00176442_GSY0017,HN00179262_F4055,HN00179262_F4206,HN00179262_F4454,HN00179328_F2309-1,HN00179328_F2317,HN00179328_K040706,HN00179328_KMGR2-43,HN00180670_CHKJ1115-02,HN00180670_CHKJ1127,HN00180670_CHKJ1223-2,HN00180670_F2080,HN00180670_F2121,HN00180670_K40327,HN00180670_MK1-10,HN00180670_MK1-12,HN00180670_MK1-13,HN00180670_MK1-18,HN00180670_MK1-34,HN00180670_MK1-9,HN00180670_MK2-12,HN00180670_MK2-3,HN00180670_MK2-6,HN00195341_AMT-61016,HN00195341_CHKJ1253026,HN00195341_DK250101,HN00195341_DK250105,HN00195341_DK250126,HN00195341_DK250312,HN00195341_DK50004,HN00195341_DK50032,HN00195341_G2-10,HN00195341_G3-29,HN00195341_JJ1-135,HN00196390_AMT-60411,HN00196390_CHKJ1122,HN00196390_DK250125,HN00196390_F2132,HN00196390_F2151,HN00196390_K200109,HN00196390_K200234,HN00196390_K40028,HN00196390_K40049,HN00196390_KFT18,HN00196822_AMT-60612,HN00196822_AMT-86113,HN00196822_K200228,HN00196822_K40725,HN00200515_AMT-62920,HN00200515_AMT-73813,HN00200515_AMT-74226,HN00200515_DKM250103,HN00200515_GS00003,HN00200515_GS00008,HN00200515_GS00049,HN00200515_GS200102,HN00200515_GS200141,HN00200515_K40006,HN00200515_KY0001,HN00200515_KY0017,HN00200749_GS00038,HN00200749_K200115,HN00200749_K42834,HN00200749_KK200119,HN00200749_MK2-46,HN00200749_T10-11,HN00203775_CHKJ1253002,HN00203775_F2100,HN00203775_F4043,HN00203775_F4202,HN00203775_F4207,HN00204805_CHKJ1211-1,HN00204805_F1208,HN00204805_F1249-1,HN00204805_FA0221,HN00215192_CH2-11,HN00222446_AMT-87013,HN00222446_AMT73616,HN00222446_CH2-30,HN00222446_CHKJ1408,HN00222446_FA0107,HN00222446_FA0422,HN00222446_FA0508,HN00222446_GS40726,HN00222446_GSY0035,HN00222446_JJ1-101,HN00222446_KO11-19,HN00222446_Sea08-36,HN00222446_T1-19,HN00223109_AMT-912213,HN00223109_MK1-41,HN00223109_T7-42,HN00223109_TPP6047,HN00226248_AMT-63123,HN00226248_TPP3038,HN00234071_Bifi-B2104,HN00251139_BGIL25015,HN00251139_BGIL25041,HN00251139_BJS25001,HN00251139_BJS25005,HN00251139_BJS25013,HN00251139_BJS25028,HN00251139_BJS25031,HN00251139_BJS25032,HN00251139_BMX25005,HN00251139_BMX25007,HN00251139_BTH25001,HN00251139_BTH25041,HN00251139_KCUT25010,HN00251139_KJS25013,HN00251139_KJS25018,HN00251139_KJS25024,HN00251139_KJS25025,HN00251139_KYF25002,HN00252244_BMX25010,HN00280011_AMT-60913,HN00280011_AMT-62814-2,HN00280011_AMT-74420,HN00280011_AMT-913617,HN00280011_BEG25026,HN00280011_BGIL25058,HN00280011_BSO25040,HN00280011_C3-36,HN00280011_C4-50,HN00280011_CHKJ1253001,HN00280011_CHKJ153021-2,HN00280011_F1016,HN00280011_F1169-1,HN00280011_F2153,HN00280011_GS00031,HN00280011_KCUT25001,HN00280011_KCUT25011,HN00280011_KCUT25019,HN00280011_KCUT25026,HN00280011_KJS25004,HN00280011_KJS25048,HN00280011_KK200214,HN00280011_KYF25005,HN00280011_L11-28,HN00280011_L11-30,HN00280011_Sea9-11,HN00281774_BMX25006,HN00281774_BSO25019,HN00281774_BSO25044,HN00281774_C4-31,HN00281774_KRS25004,HN00281774_Sea9-10
HN00173995_T10-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.15645,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.10765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.2227,,,,,,,,,,,,,,,,,,,,,,79.52029999999999,,,,,,77.47300000000001,,,,,,,,,80.6799,,,,,,,,,,,,,,,,,,,,,,87.04955,,
HN00173995_T10-42,,,,,,,98.4239,,,80.72975,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.48155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7164,,98.3871,,,,,,,,,,,,,,,,80.9065,,,,,,,,,,,,,,,,,,,,,98.5442,,,,,,,,,,,,,,,,,,,,,99.9993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00175004_F3085,,,,,,,,,,,,,,,,,,,98.351,89.30435,98.2351,89.33415,89.2261,,,,,,,,,100.0,,,,98.41399999999999,,,,,,,,,,89.18469999999999,,,,98.09595,,89.29025,,89.26315,,98.03915,,,,,98.5328,,,,,,89.2654,,,,,89.23400000000001,,,,,,97.9931,89.38395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.39355,,,,,,,,,,,,,,
HN00175004_F3276,,78.74695,,,,,,,,,,,,79.1011,,78.80565,,86.31015,,,,,,78.90315,,,,,,,,,100.0,,,,,,,78.87275,79.0747,78.956,78.85220000000001,78.9337,,,78.9953,82.79079999999999,,,,,78.85714999999999,,82.67060000000001,,86.2304,86.51895,99.98935,,,79.06855,78.92555,,,78.8985,,,,,,,78.92475,78.89255,,,82.7864,,,,,,,,,,,,,,,,,,,,,78.8598,,,,,,,,,,,,,78.62945,78.9476,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.96775,,,,,,,78.8446,79.00534999999999,,,,,82.8414,78.88210000000001,78.6448,,,78.9665,,,,79.0065,,,,78.74945,,78.9153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9292,82.77680000000001,,,78.90525,,,,,,,,,,,,,,,79.04305,,,
HN00175004_GS00019,,,99.1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99334999999999,,,,,,,,,,,,,,,,,,,,,,,,,,99.095,,,,,,,99.13435000000001,,,,,,,,,,,,,,,,,,,,,,99.99844999999999,,,99.99035,,,,,99.99655,,,,,,,,,,,,,,,,,,,,,,,99.99605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.99600000000001,,,,,,,,,,,,,,,,,
HN00175004_GS00024,,,,,,,,,,,97.82045,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.8413,,,,,97.69665,,,,,,,,97.47355,,,,,,,,,97.7656,79.47385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00175004_GS00026,,,,,,,,,,,,,,,,,,,98.35650000000001,89.29665,98.27025,89.32175000000001,89.2684,,,,,,,,,98.41399999999999,,,,100.0,,,,,,,,,,89.2842,,,,98.09675,,89.292,,89.27445,,98.0429,,,,,98.4705,,,,,,89.3039,,,,,89.28649999999999,,,,,,97.99995,89.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.40905,,,,,,,,,,,,,,
HN00175004_MK2-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00175486_F1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.38955,,,,,,,,,100.0,78.5477,,,,,,80.44685000000001,,,,80.02895000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00175486_F1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6792,,,,,,,,,78.5477,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00175486_F1319,,81.138,,,,,,,,,,,,97.95779999999999,,81.0281,,78.9906,,,,,,81.21745,,,,,,,,,78.87275,,,,,,,100.0,98.4608,98.77665,81.1992,98.94935000000001,,,97.98689999999999,79.19565,,,,,81.21324999999999,,79.03195,,79.2873,78.98125,78.83789999999999,,,97.80295000000001,81.16065,,,81.10015,,,,,,,98.03944999999999,81.14240000000001,,,79.19165,,,,,,,,,,,,,,,,,,,,,98.03295,,,,,,,,,,,,,81.43265,81.29845,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.04375,,,,,,,81.17895,81.74995,,,,,79.2928,81.45155,81.5037,,,81.057,,,,98.45565,,,,81.0726,,81.06569999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.03345,79.3177,,,81.1473,,,,,,,,,,,,,,,97.95745,,,
HN00175486_F1320,,81.06055,,,,,,,,,,,,98.0769,,80.934,,79.07515000000001,,,,78.75335,,81.1593,,,,,,,,,79.0747,,,,,,,98.4608,100.0,98.53065000000001,81.08935,98.49175,,,98.1445,79.04095000000001,,,,,81.12905,,79.0261,,79.24064999999999,79.1345,78.96940000000001,,,98.0633,81.06825,,,81.1801,,,,,,,98.30965,81.11134999999999,,,78.9648,,,,,,,,,,,,,,,,,,,,,98.3375,,,,,,,,,,,,,81.3896,81.1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.34865,,,,,,,81.1092,81.797,,,,,79.2481,81.26075,81.30245,,,81.08455000000001,,,,98.2376,,,,81.1137,,81.1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.33109999999999,79.22030000000001,,,81.209,,,,,,,,,,,,,,,98.0935,,,
HN00175486_F1321,,81.0908,,,,,,,,,,,,98.0218,,81.04555,,79.0061,,,,,,81.1548,,,,,,,,,78.956,,,,,,,98.77665,98.53065000000001,100.0,81.24455,99.24125000000001,,,98.0435,79.19685,,,,,81.17105,,79.1215,,79.10025,79.0195,78.74115,,,97.86755,81.23570000000001,,,81.04655,,,,,,,98.10544999999999,81.07735,,,79.0153,,,,,,,,,,,,,,,,,,,,,98.1639,,,,,,,,,,,,,81.312,81.3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.162,,,,,,,81.02279999999999,81.90799999999999,,,,,79.65254999999999,81.3212,81.29175000000001,,,81.15780000000001,,,,98.4027,,,,81.0181,,81.54625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.12705,79.52754999999999,,,81.1456,,,,,,,,,,,,,,,98.0604,,,
HN00175486_F1331,,97.47205,,,,,,,,,,,,81.22135,,93.92490000000001,,78.91915,,,,,,97.53495,,,,,,,,,78.85220000000001,,,,,,,81.1992,81.08935,81.24455,100.0,81.1132,,,81.1387,79.06465,,,,,97.5501,,78.92205,,78.9101,78.83155,78.8009,,,81.2149,97.53774999999999,,,97.6248,,,,,,,81.2034,97.6505,,,78.93525,,,,,,,,,,,,,,,,,,,,,81.2561,,,,,,,,,,,,,97.8516,98.86580000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.19274999999999,,,,,,,97.53645,80.85220000000001,,,,,78.9748,97.8903,97.83834999999999,,,97.48325,,,,81.07955,,,,97.5069,,97.52180000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.21585,78.88974999999999,,,97.89025000000001,,,,,,,,,,,,,,,81.19485,,,
HN00175486_F1340,,81.0648,,,,,,,,,,,,98.01044999999999,,81.0514,,79.1339,,,,,,81.0942,,,,,,,,,78.9337,,,,,,,98.94935000000001,98.49175,99.24125000000001,81.1132,100.0,,,97.96605,79.09115,,,,,81.09015,,78.99799999999999,,79.27985,79.0471,78.799,,,97.8513,81.20135,,,81.03665000000001,,,,,,,98.09495,80.999,,,78.93035,,,,,,,,,,,,,,,,,,,,,98.15735000000001,,,,,,,,,,,,,81.39155,81.22175,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.13845,,,,,,,81.14155,81.87145,,,,,79.63560000000001,81.35935,81.42105000000001,,,81.23805,,,,98.3681,,,,81.03805,,81.64410000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.11645,79.57215,,,81.21430000000001,,,,,,,,,,,,,,,98.01815,,,
HN00175486_F3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.55275,,,,,,,,,80.44685000000001,,,,,,,100.0,,,,80.7099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.62655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00175486_F3142,,,,,,,,,,,,,,,,,,,89.19739999999999,91.63645,89.28014999999999,91.5813,99.048,,,,,,,,,89.18469999999999,,,,89.2842,,,,,,,,,,100.0,,,,89.2839,,91.56795,,91.5498,,89.26554999999999,,,,,89.1549,,,,,,91.57374999999999,,,,,91.54905,,,,,,89.1978,91.5506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3997,,,,,,,,,,,,,,
HN00175486_F3161,,81.07095000000001,,,,,,,,,,,,98.4358,,80.9598,,79.03225,,78.9031,,,,81.08725,,,,,,,,,78.9953,,,,,,,97.98689999999999,98.1445,98.0435,81.1387,97.96605,,,100.0,79.37665,,,,,81.13535,,79.22215,,79.15965,79.01835,78.99605,,,98.39045,81.16105,,,81.0864,,,,,,,98.45485,81.0994,,,79.1534,,,,,,,,,,,,,,,,,,,,,98.53715,,,,,,,,,,,,,81.1591,81.1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5655,,,,,,,81.08465,81.82735,,,,,79.51345,81.22565,81.2165,,,81.12195,,,,98.7703,,,,81.1035,,80.9554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.55655,79.60715,,,81.0234,,,,,,,,,,,,,,,98.22995,,,
HN00175486_F3168,,78.9044,,,,,,,,,,,,79.0964,,79.25829999999999,,83.16499999999999,,,,,,78.916,,,,,,,,,82.79079999999999,,,,,,,79.19565,79.04095000000001,79.19685,79.06465,79.09115,,,79.37665,100.0,,,,,78.7858,,99.03954999999999,,83.24735,83.4152,82.78659999999999,,,79.25014999999999,78.83095,,,79.1192,,,,,,,79.1688,79.1192,,,100.0,,,,,,,,,,,,,,,,,,,,,79.01650000000001,,,,,,,,,,,,,78.99539999999999,79.02595,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1577,,,,,,,78.8763,79.19624999999999,,,,,98.6664,79.04339999999999,78.96709999999999,,,78.93084999999999,,,,79.45615000000001,,,,78.88135,,78.95935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.19935000000001,98.67605,,,79.03345,,,,,,,,,,,,,,,79.0783,,,
HN00175486_F3177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.6431,,,,,,,,,80.02895000000001,,,,,,,80.7099,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.68530000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HN00175486_F3230,,,,,,,,,,,,,,,,,,,98.01625,89.28720000000001,97.96029999999999,89.32284999999999,89.22319999999999,,,,,,,,,98.09595,,,,98.09675,,,,,,,,,,89.2839,,,,100.0,,89.31,,89.24934999999999,,98.83064999999999,,,,,98.11085,,,,,,89.3861,,,,,89.29679999999999,,,,,,97.77755,89.32749999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.48675,,,,,,,,,,,,,,
HN00175486_F3232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.025,98.0104,98.61574999999999,99.4825,99.50635,,94.832,97.88825,,94.86095,,,,,,,,,,,,,,,,,,98.05584999999999,,,,,,,,99.25565,,,,,,,,,,,,,,,,,,,,,,,,99.4493,,98.68325,,,,,,,,,,,,,,,,,,,,,94.9045,,,,,,,,,,,,,,,,98.38215,,,,,,,,,,,,,,,,,80.2663,,,,,,,,,,,,,,,,,,,,,,,
HN00175486_GS00022,,,,,,,,,,,,,,78.7791,,,,,89.21979999999999,97.321,89.2774,96.18895,91.5671,,,,,,,,,89.29025,,,,89.292,,,,,,,,,,91.56795,,,,89.31,,100.0,,98.9091,,89.35730000000001,,,,,89.27465000000001,,,,,,96.17145,,,,,98.5856,,,,,,89.25565,96.09164999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.19739999999999,,,,,,,,,,,,,,
HN00175796_F3300,,99.24475000000001,,,,,,,,,,,,81.25205,,93.86735,,78.96665,,,,,,99.9999,,,,,,,,,78.85714999999999,,,,,,,81.21324999999999,81.12905,81.17105,97.5501,81.09015,,,81.13535,78.7858,,,,,100.0,,78.8775,,78.888,78.91555,78.90084999999999,,,81.20570000000001,98.3417,,,98.49925,,,,,,,81.15795,98.4853,,,78.74525,,,,,,,,,,,,,,,,,,,,,81.2205,,,,,,,,,,,,,97.62845,97.51740000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.1995,,,,,,,98.55165,80.6352,,,,,78.94479999999999,97.64695,97.62055000000001,,,98.4529,,,,81.0958,,,,99.2562,,99.36304999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.19005,78.82005000000001,,,97.65514999999999,,,,,,,,,,,,,,,81.19964999999999,,,
HN00175796_F3301,,,,,,,,,,,,,,,,,,,89.20935,97.34835000000001,89.23405,96.14045,91.5468,,,,,,,,,89.26315,,,,89.27445,,,,,,,,,,91.5498,,,,89.24934999999999,,98.9091,,100.0,,89.34365,,,,,89.2235,,,,,,96.13695,,,,,98.6015,,,,,,89.24915,96.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.21345,,,,,,,,,,,,,,
HN00175796_F3306,,78.95265,,,,,,,,,,,,78.9756,,79.1404,,83.16845,,,,,,78.89555,,,,,,,,,82.67060000000001,,,,,,,79.03195,79.0261,79.1215,78.92205,78.99799999999999,,,79.22215,99.03954999999999,,,,,78.8775,,100.0,,83.22515,83.15435,82.71105,,,79.01384999999999,78.88900000000001,,,79.06174999999999,,,,,,,79.05615,78.96965,,,99.00710000000001,,,,,,,,,,,,,,,,,,,,,79.01159999999999,,,,,,,,,,,,,78.9793,78.9299,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0156,,,,,,,78.95294999999999,79.3204,,,,,98.3135,79.0497,79.01185000000001,,,78.85735,,,,79.14715000000001,,,,78.8511,,78.9765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0762,98.31819999999999,,,79.0436,,,,,,,,,,,,,,,79.02000000000001,,,
HN00175796_F3307,,,,,,,,,,,,,,,,,,,98.0036,89.3005,97.93635,89.34565,89.2809,,,,,,,,,98.03915,,,,98.0429,,,,,,,,,,89.26554999999999,,,,98.83064999999999,,89.35730000000001,,89.34365,,100.0,,,,,98.0935,,,,,,89.3806,,,,,89.30879999999999,,,,,,97.7853,89.3417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.46690000000001,,,,,,,,,,,,,,
HN00175796_F3369,,78.92265,,,,,,,,,,,,79.1808,,79.143,,99.7636,,,,,,78.96945,,,,,,,,,86.2304,,,,,,,79.2873,79.24064999999999,79.10025,78.9101,79.27985,,,79.15965,83.24735,,,,,78.888,,83.22515,,100.0,99.6466,86.1486,,,79.3535,78.84705,,,79.13730000000001,,,,,,,79.32415,78.9896,,,83.28075000000001,,,,,,,,,,,,,,,,,,,,,79.11645,,,,,,,,,,,,,78.80834999999999,78.92275000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.18925,,,,,,,78.90315,78.9077,,,,,83.16145,79.04075,78.81604999999999,,,78.94120000000001,,,,79.19205,,,,78.7672,,78.96325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.18755,83.15889999999999,,,78.82245,,,,,,,,,,,,,,,79.1494,,,
HN00175796_F3370,,78.8973,,,,,,,,,,,,78.91839999999999,,79.0861,,99.64269999999999,,,,,,78.85045,,,,,,,,,86.51895,,,,,,,78.98125,79.1345,79.0195,78.83155,79.0471,,,79.01835,83.4152,,,,,78.91555,,83.15435,,99.6466,100.0,87.0424,,,79.06309999999999,78.87835,,,79.06530000000001,,,,,,,79.18790000000001,79.06125,,,83.44525,,,,,,,,,,,,,,,,,,,,,78.99895000000001,,,,,,,,,,,,,78.742,78.9847,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.03659999999999,,,,,,,78.90090000000001,78.82245,,,,,83.53444999999999,78.8878,78.7927,,,78.96615,,,,78.9229,,,,78.77885,,79.10714999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0744,83.35875,,,78.86615,,,,,,,,,,,,,,,79.07114999999999,,,
HN00175796_F3371,,78.6488,,,,,,,,,,,,79.10115,,78.7723,,86.2927,,,,,,78.8582,,,,,,,,,99.98935,,,,,,,78.83789999999999,78.96940000000001,78.74115,78.8009,78.799,,,78.99605,82.78659999999999,,,,,78.90084999999999,,82.71105,,86.1486,87.0424,100.0,,,79.04845,78.84035,,,78.8154,,,,,,,78.90899999999999,78.8389,,,82.78540000000001,,,,,,,,,,,,,,,,,,,,,78.99080000000001,,,,,,,,,,,,,78.61325,78.7465,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0404,,,,,,,78.78905,79.00625,,,,,82.97235,78.95535000000001,78.70405,,,78.9748,,,,79.03255,,,,78.6661,,78.79115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.05590000000001,82.8218,,,78.78385,,,,,,,,,,,,,,,78.97290000000001,,,
HN00175796_F3378,,,,,,,,,,,,,,,95.92375,,,,,,,,,,91.55815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,91.57235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.87004999999999,,,,,,
HN00175796_F3454,,,,,,,,,,,,,,,,,,,98.2995,89.26775,98.22905,89.35565,89.19460000000001,,,,,,,,,98.5328,,,,98.4705,,,,,,,,,,89.1549,,,,98.11085,,89.27465000000001,,89.2235,,98.0935,,,,,100.0,,,,,,89.2929,,,,,89.2375,,,,,,97.90055000000001,89.31545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.4493,,,,,,,,,,,,,,
HN00175796_F3461,,81.2164,,,,,,,,,,,,98.13635,,81.02895,,79.00305,,,,78.8692,,81.1311,,,,,,,,,79.06855,,,,,,,97.80295000000001,98.0633,97.86755,81.2149,97.8513,,,98.39045,79.25014999999999,,,,,81.20570000000001,,79.01384999999999,,79.3535,79.06309999999999,79.04845,,,100.0,81.137,,,81.26115,,,,,,,98.68045000000001,81.16624999999999,,,79.24775,,,,,,,,,,,,,,,,,,,,,98.6037,,,,,,,,,,,,,81.33404999999999,81.29245,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6032,,,,,,,81.1896,81.8879,,,,,79.1717,81.23435,81.3078,,,81.15895,,,,98.1759,,,,81.12514999999999,,81.10665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.60135,79.1597,,,81.3181,,,,,,,,,,,,,,,98.20365000000001,,,
