sample_id	total_length_bp	n_contigs	N50	L50	largest_contig_bp	GC_pct	n_contigs_ge20kb	pct_length_in_contigs_ge20kb	genus_initial	species_initial	functional_group	Completeness	Contamination	pacbio_type	pacbio_total_bases	pacbio_mean_read_kb	pacbio_n50_bp	illumina_filtered_total_bases	pacbio_depth_x	illumina_depth_x	genus_final_validated	species_final_validated
HN00196822_AMT-86113	2461113	5	2404162	1	2404162	44.97	2	99.0	Weissella	Weissella cibaria	LAB	99.99	1.11	HiFi	82402713	7.257	8342	933643822	33.5	379.4	Weissella	Weissella cibaria
HN00196822_K200228	2523191	2	2451737	1	2451737	34.99	2	100.0	Lactococcus	Lactococcus lactis	LAB	100.0	0.54	HiFi	115980487	6.682	7544	724130519	46.0	287.0	Lactococcus	Lactococcus lactis
HN00196822_K40725	3317165	5	3214386	1	3214386	44.35	3	99.4	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	0.55	HiFi	216413240	7.51	8514	487272819	65.2	146.9	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00200515_AMT-62920	2006516	3	1954051	1	1954051	41.12	2	99.26	Latilactobacillus	Latilactobacillus sakei	LAB	100.0	0.33	HiFi	430310189	7.788	8737	960433015	214.5	478.7	Latilactobacillus	Latilactobacillus sakei
HN00200515_AMT-73813	1916133	4	1835156	1	1835156	37.42	2	98.8	Pediococcus	Pediococcus pentosaceus	LAB	100.0	0.27	HiFi	431677805	7.863	8790	1239550247	225.3	646.9	Pediococcus	Pediococcus pentosaceus
HN00200515_AMT-74226	3264934	4	3142525	1	3142525	44.42	3	99.77	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	0.51	HiFi	414412888	7.479	8412	1013160173	126.9	310.3	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00200515_DKM250103	2027949	3	1965694	1	1965694	37.73	2	99.05	Leuconostoc	Leuconostoc mesenteroides	LAB	100.0	0.31	HiFi	312989773	7.313	8283	958220682	154.3	472.5	Leuconostoc	Leuconostoc mesenteroides
HN00200515_GS00003	2405825	5	2298476	1	2298476	45.84	3	99.18	Levilactobacillus	Levilactobacillus brevis	LAB	100.0	0.04	HiFi	441534650	7.784	8755	965313412	183.5	401.2	Levilactobacillus	Levilactobacillus brevis
HN00200515_GS00008	2510359	4	2462906	1	2462906	44.93	2	99.16	Weissella	Weissella cibaria	LAB	99.99	0.93	HiFi	155937023	7.011	7974	1168438113	62.1	465.4	Weissella	Weissella cibaria
HN00200515_GS00049	2495625	2	2429268	1	2429268	35.2	2	100.0	Lactococcus	Lactococcus lactis	LAB	100.0	0.47	HiFi	282331193	7.508	8500	1063994464	113.1	426.3	Lactococcus	Lactococcus lactis
HN00200515_GS200102	2405807	5	2298458	1	2298458	45.84	3	99.18	Levilactobacillus	Levilactobacillus brevis	LAB	99.99	0.04	HiFi	443337598	7.92	8877	1169383279	184.3	486.1	Levilactobacillus	Levilactobacillus brevis
HN00200515_GS200141	2004223	4	1952845	1	1952845	41.07	2	99.19	Latilactobacillus	Latilactobacillus sakei	LAB	100.0	0.32	HiFi	320591988	7.321	8263	1145563834	160.0	571.6	Latilactobacillus	Latilactobacillus sakei
HN00200515_K40006	2473210	4	2428200	1	2428200	44.99	2	99.49	Weissella	Weissella cibaria	LAB	99.98	1.2	HiFi	341154557	7.371	8347	1128401438	137.9	456.2	Weissella	Weissella cibaria
HN00200515_KY0001	3403064	9	3212973	1	3212973	44.37	5	98.94	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	1.04	HiFi	269399787	6.702	7597	1369728749	79.2	402.5	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00200515_KY0017	2064168	1	2064168	1	2064168	38.14	1	100.0	Weissella	Weissella paramesenteroides	LAB	100.0	0.17	HiFi	142665673	6.11	6747	1005255041	69.1	487.0	Weissella	Weissella paramesenteroides
HN00200749_GS00038	2405807	5	2298458	1	2298458	45.84	3	99.18	Levilactobacillus	Levilactobacillus brevis	LAB	99.99	0.04	HiFi	412858611	9.201	10336	1605076294	171.6	667.2	Levilactobacillus	Levilactobacillus brevis
HN00200749_K200115	1970100	3	1936199	1	1936199	41.03	2	99.66	Latilactobacillus	Latilactobacillus sakei	LAB	99.99	0.32	HiFi	379514829	8.685	9839	2032538541	192.6	1031.7	Latilactobacillus	Latilactobacillus sakei
HN00200749_K42834	2013652	2	1975593	1	1975593	41.84	2	100.0	Latilactobacillus	Latilactobacillus curvatus	LAB	99.99	0.29	HiFi	806271062	9.67	10726	1848530126	400.4	918.0	Latilactobacillus	Latilactobacillus curvatus
HN00200749_KK200119	2500756	5	2380821	1	2380821	35.11	3	99.0	Lactococcus	Lactococcus lactis	LAB	100.0	0.64	HiFi	711655079	9.486	10533	1974044860	284.6	789.4	Lactococcus	Lactococcus lactis
HN00200749_MK2-46	2056821	1	2056821	1	2056821	38.22	1	100.0	unresolved	Lactococcus sp.	Unresolved	99.99	0.08	HiFi	755119918	9.488	10542	2178548498	367.1	1059.2	unresolved	Lactococcus sp.
HN00200749_T10-11	3250884	2	3243663	1	3243663	44.5	1	99.78	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	0.56	HiFi	733940201	9.627	10701	1983310964	225.8	610.1	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00203775_CHKJ1253002	4082205	1	4082205	1	4082205	43.8	1	100.0	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.04	HiFi	309827563	8.343	9446	1980583966	75.9	485.2	Bacillus	Bacillus subtilis
HN00203775_F2100	2762495	3	2589817	1	2589817	38.27	2	99.73	Enterococcus	Enterococcus lactis	LAB	100.0	0.46	HiFi	335810351	8.619	9714	2110170700	121.6	763.9	Enterococcus	Enterococcus lactis
HN00203775_F4043	3195457	1	3195457	1	3195457	44.6	1	100.0	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	0.41	HiFi	291666515	8.225	9304	1967232901	91.3	615.6	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00203775_F4202	2875064	4	2600226	1	2600226	38.12	2	99.31	Enterococcus	Enterococcus lactis	LAB	100.0	0.22	HiFi	336039467	8.459	9562	2244951051	116.9	780.8	Enterococcus	Enterococcus lactis
HN00203775_F4207	1933832	1	1933832	1	1933832	42.3	1	100.0	Pediococcus	Pediococcus acidilactici	LAB	99.98	0.0	HiFi	357684628	8.512	9608	2246361583	185.0	1161.6	Pediococcus	Pediococcus acidilactici
HN00204805_CHKJ1211-1	5358940	2	5322731	1	5322731	35.44	2	100.0	Bacillus	Bacillus tropicus	Bacillus_group	100.0	0.01	HiFi	493993603	9.59	10741	1672675407	92.2	312.1	Bacillus	Bacillus tropicus
HN00204805_F1208	5359256	9	4928125	1	4928125	36.68	6	99.57	Priestia	Priestia filamentosa	Bacillus_group	100.0	1.24	HiFi	442114428	9.232	10312	1828255459	82.5	341.1	Priestia	Priestia filamentosa
HN00204805_F1249-1	3890597	1	3890597	1	3890597	46.7	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.0	HiFi	556657866	9.716	10937	2064467356	143.1	530.6	Bacillus	Bacillus velezensis
HN00204805_FA0221	4297355	2	4290925	1	4290925	43.13	1	99.85	Bacillus	Bacillus atrophaeus	Bacillus_group	100.0	0.11	HiFi	504335691	9.678	10946	1871405385	117.4	435.5	Bacillus	Bacillus atrophaeus
HN00215192_CH2-11	3159857	5	3131504	1	3131504	46.99	1	99.1	unresolved	Psychrobacter sp.	Unresolved	100.0	0.01	HiFi	791648225	7.753	8718	2725957125	250.5	862.7	unresolved	Psychrobacter sp.
HN00222446_AMT-87013	2051296	2	2013931	1	2013931	37.63	2	100.0	Leuconostoc	Leuconostoc mesenteroides	LAB	100.0	0.27	HiFi	311062769	6.963	7959	2057553467	151.6	1003.1	Leuconostoc	Leuconostoc mesenteroides
HN00222446_AMT73616	3430267	10	3159907	1	3159907	44.27	5	98.48	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	2.05	HiFi	396075416	7.603	8614	2786972951	115.5	812.5	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00222446_CH2-30	3180053	8	3131504	1	3131504	46.94	1	98.47	unresolved	Psychrobacter sp.	Unresolved	100.0	0.01	HiFi	455654947	7.782	9054	2013635344	143.3	633.2	unresolved	Psychrobacter sp.
HN00222446_CHKJ1408	4761294	2	4755218	1	4755218	45.42	1	99.87	Bacillus	Bacillus paralicheniformis	Bacillus_group	100.0	0.26	HiFi	800240976	7.405	8589	2449063731	168.1	514.4	Bacillus	Bacillus paralicheniformis
HN00222446_FA0107	3925899	1	3925899	1	3925899	46.25	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.42	HiFi	514156650	7.421	8545	2418824404	131.0	616.1	Bacillus	Bacillus velezensis
HN00222446_FA0422	4055991	1	4055991	1	4055991	46.12	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.24	HiFi	447757278	7.446	8647	2294465492	110.4	565.7	Bacillus	Bacillus velezensis
HN00222446_FA0508	8049883	2	7724370	1	7724370	46.99	2	100.0	unresolved	Paenibacillus sp.	Unresolved	100.0	0.3	HiFi	512645036	7.514	8658	2241954887	63.7	278.5	unresolved	Paenibacillus sp.
HN00222446_GS40726	2405807	5	2298458	1	2298458	45.84	3	99.18	Levilactobacillus	Levilactobacillus brevis	LAB	99.99	0.04	HiFi	345363830	7.245	8347	2368999372	143.6	984.7	Levilactobacillus	Levilactobacillus brevis
HN00222446_GSY0035	3932592	1	3932592	1	3932592	46.53	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.0	HiFi	439146551	7.11	8203	2685014753	111.7	682.8	Bacillus	Bacillus velezensis
HN00222446_JJ1-101	2422092	1	2422092	1	2422092	73.0	1	100.0	Micrococcus	Micrococcus luteus	Other_Environmental	99.99	0.0	HiFi	222445085	7.481	8713	1098780537	91.8	453.6	Micrococcus	Micrococcus luteus
HN00222446_KO11-19	2793862	4	2718825	1	2718825	33.09	3	99.55	Staphylococcus	Staphylococcus equorum	Other_Environmental	99.89	0.13	HiFi	648223297	8.104	9335	3031087044	232.0	1084.9	Staphylococcus	Staphylococcus equorum
HN00222446_Sea08-36	5986484	1	5986484	1	5986484	53.61	1	100.0	Paenibacillus	Paenibacillus chitinolyticus	Bacillus_group	98.29	0.11	HiFi	356960904	7.054	8215	2595756881	59.6	433.6	Paenibacillus	Paenibacillus chitinolyticus
HN00222446_T1-19	4035134	1	4035134	1	4035134	43.52	1	100.0	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.06	HiFi	486939570	6.882	7877	2320102299	120.7	575.0	Bacillus	Bacillus subtilis
HN00223109_AMT-912213	2511335	6	2447501	1	2447501	44.78	2	98.3	Weissella	Weissella cibaria	LAB	100.0	1.53	HiFi	274613219	7.482	8348	2955868721	109.3	1177.0	Weissella	Weissella cibaria
HN00223109_MK1-41	2636567	2	2463348	1	2463348	38.12	2	100.0	Enterococcus	Enterococcus faecium	LAB	100.0	0.82	HiFi	552980518	7.566	8548	2580999624	209.7	978.9	Enterococcus	Enterococcus faecium
HN00223109_T7-42	2001077	5	1912377	1	1912377	42.23	2	98.01	Pediococcus	Pediococcus acidilactici	LAB	99.99	0.01	HiFi	687566021	8.295	9425	2748402713	343.6	1373.5	Pediococcus	Pediococcus acidilactici
HN00223109_TPP6047	3930031	1	3930031	1	3930031	46.53	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.02	HiFi	1008421435	11.22	12391	2281946101	256.6	580.6	Bacillus	Bacillus velezensis
HN00226248_AMT-63123	3334760	6	3159907	1	3159907	44.36	4	99.45	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	1.62	HiFi	516240844	6.586	7542	3297858749	154.8	988.9	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00226248_TPP3038	3965611	1	3965611	1	3965611	46.6	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	0.0	HiFi	590495296	7.847	9014	3261554234	148.9	822.5	Bacillus	Bacillus velezensis
HN00234071_Bifi-B2104	1944085	1	1944085	1	1944085	60.49	1	100.0	Bifidobacterium	Bifidobacterium animalis	Other_Environmental	99.91	0.19	HiFi	844677455	7.365	8750	3011324426	434.5	1549.0	Bifidobacterium	Bifidobacterium animalis
HN00251139_BGIL25015	4327994	1	4327994	1	4327994	44.82	1	100.0	Shouchella	Shouchella clausii	Bacillus_group	100.0	0.76	HiFi	576089916	7.249	8467	2923918328	133.1	675.6	Shouchella	Shouchella clausii
HN00251139_BGIL25041	3949592	2	3897716	1	3897716	40.53	2	100.0	Shouchella	Shouchella miscanthi	Bacillus_group	99.93	0.48	HiFi	469131563	6.95	8090	3004946700	118.8	760.8	Shouchella	Shouchella miscanthi
HN00251139_BJS25001	2803017	2	2743073	1	2743073	46.71	2	100.0	Salimicrobium	Salimicrobium jeotgali	Other_Environmental	99.95	0.51	HiFi	330427460	6.724	7829	2867481408	117.9	1023.0	Salimicrobium	Salimicrobium jeotgali
HN00251139_BJS25005	3307036	7	2980045	1	2980045	63.58	4	98.84	Octadecabacter	Octadecabacter arcticus	Other_Environmental	100.0	0.01	HiFi	332778967	6.421	7339	2882908510	100.6	871.7	Thalassorhabdomicrobium	Thalassorhabdomicrobium marinisediminis
HN00251139_BJS25013	2916441	1	2916441	1	2916441	71.03	1	100.0	Janibacter	Janibacter melonis	Other_Environmental	100.0	0.29	HiFi	239970725	6.462	7486	2205288991	82.3	756.2	Marihabitans	Marihabitans asiaticum
HN00251139_BJS25028	2553266	2	2504721	1	2504721	49.46	2	100.0	unresolved	Salinicoccus sp.	Unresolved	99.98	0.87	HiFi	541867772	7.798	9361	2836885293	212.2	1111.1	unresolved	Salinicoccus sp.
HN00251139_BJS25031	5121198	3	5009311	1	5009311	45.84	3	100.0	Bacillus	Bacillus infantis	Bacillus_group	100.0	0.56	HiFi	393425421	6.929	8033	2978056381	76.8	581.5	Bacillus	Bacillus infantis
HN00251139_BJS25032	2941202	2	2912814	1	2912814	71.17	2	100.0	Serinicoccus	Serinicoccus profundi	Other_Environmental	100.0	0.08	HiFi	318802105	6.731	7975	2070153536	108.4	703.8	Marihabitans	Marihabitans asiaticum
HN00251139_BMX25005	4874752	1	4874752	1	4874752	41.61	1	100.0	Rossellomorea	Rossellomorea vietnamensis	Bacillus_group	100.0	0.4	HiFi	443715447	6.903	8044	3061249702	91.0	628.0	Rossellomorea	Rossellomorea vietnamensis
HN00251139_BMX25007	4281160	1	4281160	1	4281160	43.53	1	100.0	unresolved	Halobacillus sp.	Unresolved	100.0	0.2	HiFi	555448340	7.409	8651	2916292331	129.7	681.2	unresolved	Halobacillus sp.
HN00251139_BTH25001	2914078	2	2762687	1	2762687	38.34	2	100.0	Enterococcus	Enterococcus faecium	LAB	100.0	0.29	HiFi	440076842	6.99	8079	3119081354	151.0	1070.3	Enterococcus	Enterococcus lactis
HN00251139_BTH25041	2899331	1	2899331	1	2899331	70.21	1	100.0	Kocuria	Kocuria palustris	Other_Environmental	100.0	0.04	HiFi	321678582	7.107	8382	2419949485	110.9	834.7	Kocuria	Kocuria palustris
HN00251139_KCUT25010	3776343	1	3776343	1	3776343	39.58	1	100.0	unresolved	Virgibacillus sp.	Unresolved	93.6	0.5	HiFi	625691246	7.468	8775	2927763353	165.7	775.3	unresolved	Virgibacillus sp.
HN00251139_KJS25013	2853448	2	2795224	1	2795224	44.87	2	100.0	Uncultured	Uncultured delta	Other_Environmental	99.99	0.02	HiFi	493030895	7.243	8455	2938218972	172.8	1029.7	Uncultured	Uncultured delta
HN00251139_KJS25018	2868710	3	2827454	1	2827454	44.86	2	99.81	Psychrobacter	Psychrobacter pacificensis	Other_Environmental	99.97	0.01	HiFi	533260659	7.318	8545	2927284993	185.9	1020.4	Psychrobacter	Psychrobacter pacificensis
HN00251139_KJS25024	3375639	1	3375639	1	3375639	64.61	1	100.0	Halomonas	Halomonas elongata	Other_Environmental	99.97	0.33	HiFi	420795724	6.619	7716	2350456418	124.7	696.3	Halomonas	Halomonas elongata
HN00251139_KJS25025	2959308	1	2959308	1	2959308	65.16	1	100.0	Gordonia	Gordonia alkanivorans	Other_Environmental	99.98	0.22	HiFi	428131529	7.335	8738	2605904502	144.7	880.6	Nesterenkonia	Nesterenkonia koreensis
HN00251139_KYF25002	2544304	2	2485204	1	2485204	71.85	2	100.0	Kytococcus	Kytococcus sedentarius	Other_Environmental	99.98	0.0	HiFi	411050681	9.223	10668	2147188602	161.6	843.9	Kytococcus	Kytococcus sedentarius
HN00252244_BMX25010	2188155	2	2151327	1	2151327	36.37	2	100.0	Tetragenococcus	Tetragenococcus osmophilus	LAB	100.0	0.08	HiFi	1062554759	7.189	8282	3006347886	485.6	1373.9	Tetragenococcus	Tetragenococcus osmophilus
HN00280011_AMT-60913	3426020	7	3229058	1	3229058	44.21	4	99.31	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	100.0	0.7	HiFi	2582245202	8.022	9084	3049586160	753.7	890.1	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00280011_AMT-62814-2	1999936	2	1964939	1	1964939	38.18	2	100.0	Weissella	Weissella paramesenteroides	LAB	99.99	0.4	HiFi	1670321767	7.534	8350	3001716222	835.2	1500.9	Weissella	Weissella paramesenteroides
HN00280011_AMT-74420	3288033	9	3126907	1	3126907	44.4	4	98.87	Lactiplantibacillus	Lactiplantibacillus plantarum	LAB	99.99	0.46	HiFi	2184333367	8.109	9087	3049466031	664.3	927.4	Lactiplantibacillus	Lactiplantibacillus plantarum
HN00280011_AMT-913617	1983342	2	1918546	1	1918546	38.74	2	100.0	Weissella	Weissella jogaejeotgali	LAB	99.97	0.28	HiFi	2169163987	9.537	11265	2486325268	1093.7	1253.6	Weissella	Weissella jogaejeotgali
HN00280011_BEG25026	2550983	1	2550983	1	2550983	36.09	1	100.0	Tetragenococcus	Tetragenococcus halophilus	LAB	100.0	0.09	HiFi	3467263745	11.884	14672	3343516037	1359.2	1310.7	Tetragenococcus	Tetragenococcus halophilus
HN00280011_BGIL25058	6932025	1	6932025	1	6932025	46.25	1	100.0	Paenibacillus	Paenibacillus amylolyticus	Bacillus_group	100.0	0.12	HiFi	3877019478	9.66	11384	2338339134	559.3	337.3	Paenibacillus	Paenibacillus amylolyticus
HN00280011_BSO25040	5002498	1	5002498	1	5002498	37.66	1	100.0	unresolved	Oceanobacillus sp.	Unresolved	100.0	3.31	HiFi	4417055049	9.486	11224	2637399798	883.0	527.2	unresolved	Oceanobacillus sp.
HN00280011_C3-36	3306654	2	3263620	1	3263620	63.81	2	100.0	Corynebacterium	Corynebacterium appendicis	Other_Environmental	100.0	0.35	HiFi	1228412698	12.078	16061	2048402738	371.5	619.5	Kocuria	Kocuria atrinae
HN00280011_C4-50	2858431	1	2858431	1	2858431	35.25	1	100.0	Enterococcus	Enterococcus faecium	LAB	100.0	0.58	HiFi	1243114258	11.504	14702	2846713789	434.9	995.9	Enterococcus	Enterococcus faecium
HN00280011_CHKJ1253001	4082214	1	4082214	1	4082214	43.8	1	100.0	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.05	HiFi	1033641244	11.608	15079	2326574134	253.2	569.9	Bacillus	Bacillus subtilis
HN00280011_CHKJ153021-2	4526147	1	4526147	1	4526147	45.64	1	100.0	Bacillus	Bacillus paralicheniformis	Bacillus_group	100.0	0.06	HiFi	2312181355	7.564	8735	2758767681	510.8	609.5	Bacillus	Bacillus paralicheniformis
HN00280011_F1016	3049513	5	3011700	1	3011700	43.11	1	98.76	Psychrobacter	Psychrobacter alimentarius	Other_Environmental	99.99	0.14	HiFi	1251893995	10.377	12809	3218330922	410.5	1055.4	Psychrobacter	Psychrobacter alimentarius
HN00280011_F1169-1	6256095	3	5792269	1	5792269	45.47	3	100.0	Paenibacillus	Paenibacillus urinalis	Bacillus_group	100.0	2.32	HiFi	1474384290	12.077	15387	2349021887	235.7	375.5	Paenibacillus	Paenibacillus urinalis
HN00280011_F2153	3898113	1	3898113	1	3898113	46.17	1	100.0	Bacillus	Bacillus velezensis	Bacillus_group	100.0	1.2	HiFi	1300231548	11.057	14223	2355749724	333.6	604.3	Bacillus	Bacillus velezensis
HN00280011_GS00031	2405807	5	2298458	1	2298458	45.84	3	99.18	Levilactobacillus	Levilactobacillus brevis	LAB	99.99	0.04	HiFi	1006963642	12.237	15020	2973178508	418.6	1235.8	Levilactobacillus	Levilactobacillus brevis
HN00280011_KCUT25001	4260081	1	4260081	1	4260081	36.57	1	100.0	Virgibacillus	Virgibacillus dokdonensis	Bacillus_group	100.0	0.55	HiFi	1494183615	11.844	14850	2712956774	350.7	636.8	Virgibacillus	Virgibacillus dokdonensis
HN00280011_KCUT25011	4196578	3	4187641	1	4187641	38.16	1	99.79	Virgibacillus	Virgibacillus halodenitrificans	Bacillus_group	99.95	0.23	HiFi	1438934128	11.104	14153	2884274931	342.9	687.3	Virgibacillus	Virgibacillus halodenitrificans
HN00280011_KCUT25019	3863017	2	3643615	1	3643615	41.63	2	100.0	Bacillus	Bacillus pumilus	Bacillus_group	100.0	1.19	HiFi	1401504021	11.528	14940	3160652105	362.8	818.2	Bacillus	Bacillus pumilus
HN00280011_KCUT25026	3858035	1	3858035	1	3858035	35.6	1	100.0	Oceanobacillus	Oceanobacillus iheyensis	Bacillus_group	100.0	0.18	HiFi	1249925788	9.965	12495	2720644708	324.0	705.2	Oceanobacillus	Oceanobacillus iheyensis
HN00280011_KJS25004	3793282	4	3778162	1	3778162	66.92	1	99.6	unresolved	Halomonas sp.	Unresolved	99.99	0.03	HiFi	832339608	10.08	12847	1159227434	219.4	305.6	unresolved	Halomonas sp.
HN00280011_KJS25048	3372718	7	3327160	1	3327160	43.13	1	98.65	unresolved	Psychrobacter sp.	Unresolved	100.0	0.26	HiFi	1248702074	11.14	14127	2506089642	370.2	743.0	unresolved	Psychrobacter sp.
HN00280011_KK200214	1712872	3	1644798	1	1644798	37.68	2	99.12	Leuconostoc	Leuconostoc mesenteroides	LAB	99.88	0.59	HiFi	733833238	7.211	8042	2513925964	428.4	1467.7	Leuconostoc	Leuconostoc mesenteroides
HN00280011_KYF25005	3692148	2	3687646	1	3687646	41.88	1	99.88	unresolved	Psychrobacter sp.	Unresolved	99.99	0.63	HiFi	1757660749	8.663	10088	2540072967	476.1	688.0	unresolved	Psychrobacter sp.
HN00280011_L11-28	6179316	1	6179316	1	6179316	47.28	1	100.0	Paenibacillus	Paenibacillus barcinonensis	Bacillus_group	100.0	0.01	HiFi	2006978880	7.243	8161	2644969754	324.8	428.0	Paenibacillus	Paenibacillus barcinonensis
HN00280011_L11-30	3697944	1	3697944	1	3697944	37.84	1	100.0	unresolved	Virgibacillus sp.	Unresolved	99.97	0.37	HiFi	1500091142	11.503	15068	2566435032	405.7	694.0	unresolved	Virgibacillus sp.
HN00280011_Sea9-11	5939710	5	5234126	1	5234126	35.16	4	99.85	Bacillus	Bacillus toyonensis	Bacillus_group	100.0	0.63	HiFi	353437449	9.131	11459	2253872043	59.5	379.5	Bacillus	Bacillus toyonensis
HN00281774_BMX25006	3894503	1	3894503	1	3894503	39.26	1	100.0	Oceanobacillus	Oceanobacillus kapialis	Bacillus_group	99.99	0.64	HiFi	1074713820	11.308	14474	3268297528	276.0	839.2	Oceanobacillus	Oceanobacillus kapialis
HN00281774_BSO25019	4655762	1	4655762	1	4655762	39.29	1	100.0	Oceanobacillus	Oceanobacillus oncorhynchi	Bacillus_group	100.0	1.28	HiFi	1155232609	13.009	17214	3135724150	248.1	673.5	Oceanobacillus	Oceanobacillus oncorhynchi
HN00281774_BSO25044	4072800	1	4072800	1	4072800	43.84	1	100.0	Bacillus	Bacillus subtilis	Bacillus_group	100.0	0.0	HiFi	2017363068	8.808	10816	3163823713	495.3	776.8	Bacillus	Bacillus subtilis
HN00281774_C4-31	2929508	1	2929508	1	2929508	69.93	1	100.0	Glutamicibacter	Glutamicibacter protophormiae	Other_Environmental	99.92	0.01	HiFi	1052388113	12.589	16572	2603429420	359.2	888.7	Glutamicibacter	Glutamicibacter protophormiae
HN00281774_KRS25004	2436464	4	2327693	1	2327693	45.11	3	99.19	unresolved	Salinicoccus sp.	Unresolved	99.95	0.4	HiFi	983601984	14.651	18462	3174771443	403.7	1303.0	unresolved	Salinicoccus sp.
HN00281774_Sea9-10	7185320	3	6947840	1	6947840	46.81	2	99.8	Paenibacillus	Paenibacillus xylanilyticus	Bacillus_group	100.0	0.49	HiFi	1298583349	10.693	13614	3068444465	180.7	427.0	Paenibacillus	Paenibacillus xylanilyticus
