user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
HN00180670_MK1-18	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	GCF_029023785.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	98.97	0.891	GCF_029023785.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B faecium	98.97	0.891	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_015751045.1, s__Enterococcus_B lactis, 95.0, 94.35, 0.817; GCF_001544215.1, s__Enterococcus_B durans, 95.0, 82.56, 0.152; GCF_011038845.1, s__Enterococcus_B sp011038845, 95.0, 81.36, 0.174	97.34	11	N/A	N/A
HN00180670_MK1-34	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.91	0.89	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.91	0.89	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.31	11	N/A	N/A
HN00180670_MK1-9	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.65	0.892	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.65	0.892	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.17	11	N/A	N/A
HN00180670_MK2-12	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.55	0.868	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.55	0.868	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.43	11	N/A	N/A
HN00180670_MK2-3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.62	0.897	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.62	0.897	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.43	11	N/A	N/A
HN00180670_MK2-6	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.65	0.892	GCF_029024925.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	98.65	0.892	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.17	11	N/A	N/A
HN00195341_AMT-61016	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis	GCF_001433855.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis	97.22	0.849	GCF_001433855.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis	97.22	0.849	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.75	11	N/A	N/A
HN00195341_CHKJ1253026	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	GCF_000009045.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	98.97	0.967	GCF_000009045.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	98.97	0.967	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000738015.1, s__Bacillus stercoris, 95.0, 94.83, 0.904; GCF_000332645.1, s__Bacillus inaquosorum, 95.0, 92.45, 0.876; GCF_004124315.2, s__Bacillus cabrialesii, 95.0, 92.35, 0.883; GCF_031316495.1, s__Bacillus spizizenii, 95.0, 92.19, 0.861; GCF_011745685.2, s__Bacillus rugosus, 95.0, 92.18, 0.872; GCA_026790065.1, s__Bacillus sp026790065, 95.0, 92.07, 0.861; GCF_031317525.1, s__Bacillus tequilensis, 95.0, 91.54, 0.812; GCF_040784915.1, s__Bacillus subtilis_G, 95.0, 91.53, 0.834; GCF_004116955.1, s__Bacillus vallismortis, 95.0, 90.82, 0.783; GCA_020223575.2, s__Bacillus mexicanus, 95.0, 90.37, 0.777; GCF_001517105.1, s__Bacillus halotolerans, 95.0, 88.49, 0.753; GCF_031316635.1, s__Bacillus mojavensis, 95.47, 88.17, 0.751; GCF_001584335.1, s__Bacillus atrophaeus, 95.0, 81.65, 0.268; GCF_000196735.1, s__Bacillus amyloliquefaciens, 95.0, 81.17, 0.176; GCF_000262045.1, s__Bacillus siamensis, 95.0, 80.86, 0.19; GCF_018613535.1, s__Bacillus sp018613535, 95.0, 80.84, 0.208; GCF_001461825.1, s__Bacillus velezensis, 95.0, 80.69, 0.181; GCF_001584325.1, s__Bacillus nakamurai, 95.0, 80.56, 0.195	96.19	11	N/A	N/A
HN00195341_DK250101	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	GCF_000193635.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	96.77	0.914	GCF_000193635.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	96.77	0.914	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004521965.1, s__Weissella cibaria_A, 95.0, 93.52, 0.839; GCA_041871065.1, s__Weissella confusa_A, 95.0, 83.64, 0.223; GCF_025908565.2, s__Weissella fermenti, 95.0, 82.93, 0.188; GCF_007991875.1, s__Weissella confusa, 95.0, 82.37, 0.192	94.76	11	N/A	N/A
HN00195341_DK250105	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc suionicum	GCF_001891125.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc suionicum	98.66	0.896	GCF_001891125.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc suionicum	98.66	0.896	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000014445.1, s__Leuconostoc mesenteroides, 95.0, 94.43, 0.786; GCA_009676745.1, s__Leuconostoc mesenteroides_B, 95.0, 90.05, 0.723; GCF_008107645.1, s__Leuconostoc litchii, 95.0, 82.07, 0.273	95.12	11	N/A	N/A
HN00195341_DK250126	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	98.95	0.866	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	98.95	0.866	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_032681335.1, s__Lactiplantibacillus sp032681335, 95.0, 90.41, 0.593; GCF_003641145.1, s__Lactiplantibacillus paraplantarum, 95.0, 88.4, 0.536; GCF_003641185.1, s__Lactiplantibacillus pentosus, 95.0, 83.1, 0.234; GCA_000463075.2, s__Lactiplantibacillus plantarum_A, 95.0, 82.37, 0.206	94.12	11	N/A	N/A
HN00195341_DK250312	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	98.95	0.867	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	98.95	0.867	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_032681335.1, s__Lactiplantibacillus sp032681335, 95.0, 90.41, 0.593; GCF_003641145.1, s__Lactiplantibacillus paraplantarum, 95.0, 88.3, 0.539; GCF_003641185.1, s__Lactiplantibacillus pentosus, 95.0, 83.18, 0.237; GCA_000463075.2, s__Lactiplantibacillus plantarum_A, 95.0, 82.38, 0.207	94.12	11	N/A	N/A
HN00195341_DK50004	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	98.95	0.867	GCF_014131735.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	98.95	0.867	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_032681335.1, s__Lactiplantibacillus sp032681335, 95.0, 90.41, 0.593; GCF_003641145.1, s__Lactiplantibacillus paraplantarum, 95.0, 88.36, 0.533; GCF_003641185.1, s__Lactiplantibacillus pentosus, 95.0, 83.17, 0.235; GCA_000463075.2, s__Lactiplantibacillus plantarum_A, 95.0, 82.37, 0.207	94.12	11	N/A	N/A
HN00195341_DK50032	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis	GCF_001433855.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis	97.26	0.857	GCF_001433855.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__Levilactobacillus brevis	97.26	0.857	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Levilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	94.7	11	N/A	N/A
HN00195341_G2-10	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus pentosaceus	GCF_001437285.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus pentosaceus	98.8	0.907	GCF_001437285.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus pentosaceus	98.8	0.907	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022712335.1, s__Pediococcus sp022712335, 95.0, 86.21, 0.38	95.73	11	N/A	N/A
HN00195341_G3-29	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides	GCF_000014445.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides	98.92	0.894	GCF_000014445.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides	98.92	0.894	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001891125.1, s__Leuconostoc suionicum, 95.0, 93.92, 0.811; GCA_009676745.1, s__Leuconostoc mesenteroides_B, 95.0, 91.6, 0.812; GCF_008107645.1, s__Leuconostoc litchii, 95.0, 82.43, 0.286	94.48	11	N/A	N/A
HN00195341_JJ1-135	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici	GCF_000146325.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici	97.35	0.875	GCF_000146325.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__Pediococcus acidilactici	97.35	0.875	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_024970065.1, s__Pediococcus acidilactici_A, 95.0, 91.0, 0.728	94.84	11	N/A	N/A
HN00196390_AMT-60411	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc suionicum	GCF_001891125.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc suionicum	99.13	0.907	GCF_001891125.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc suionicum	99.13	0.907	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000014445.1, s__Leuconostoc mesenteroides, 95.0, 94.31, 0.795; GCA_009676745.1, s__Leuconostoc mesenteroides_B, 95.0, 89.87, 0.723; GCF_008107645.1, s__Leuconostoc litchii, 95.0, 82.24, 0.277	95.37	11	N/A	N/A
HN00196390_CHKJ1122	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B lactis	GCF_015751045.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B lactis	98.2	0.824	GCF_015751045.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__Enterococcus_B lactis	98.2	0.824	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_029023785.1, s__Enterococcus_B faecium, 95.0, 94.62, 0.814; GCF_011038845.1, s__Enterococcus_B sp011038845, 95.0, 81.61, 0.151	96.76	11	N/A	N/A
HN00196390_DK250125	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	GCF_007991875.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	97.85	0.901	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_007991875.1, s__Weissella confusa, 95.0, 97.85, 0.901; GCA_014332815.1, s__Weissella confusa_C, 95.0, 96.64, 0.607; GCF_025908565.2, s__Weissella fermenti, 95.0, 93.21, 0.77; GCA_041871065.1, s__Weissella confusa_A, 95.0, 92.51, 0.762; GCF_000193635.1, s__Weissella cibaria, 95.0, 83.23, 0.19; GCF_004521965.1, s__Weissella cibaria_A, 95.0, 81.76, 0.171	94.6	11	N/A	N/A
HN00196390_F2132	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	GCF_001461825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	98.51	0.907	GCF_001461825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	98.51	0.907	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000262045.1, s__Bacillus siamensis, 95.0, 94.05, 0.882; GCF_000196735.1, s__Bacillus amyloliquefaciens, 95.0, 93.92, 0.837; GCF_001584325.1, s__Bacillus nakamurai, 95.0, 87.67, 0.685; GCF_018613535.1, s__Bacillus sp018613535, 95.0, 87.44, 0.681; GCF_000009045.1, s__Bacillus subtilis, 95.0, 81.63, 0.193; GCF_004124315.2, s__Bacillus cabrialesii, 95.0, 81.37, 0.196; GCF_040784915.1, s__Bacillus subtilis_G, 95.0, 80.99, 0.177; GCF_031317525.1, s__Bacillus tequilensis, 95.0, 80.94, 0.198; GCF_004116955.1, s__Bacillus vallismortis, 95.0, 80.94, 0.181; GCF_001517105.1, s__Bacillus halotolerans, 95.0, 80.8, 0.211; GCF_000332645.1, s__Bacillus inaquosorum, 95.0, 80.76, 0.192; GCF_011745685.2, s__Bacillus rugosus, 95.0, 80.6, 0.182; GCF_000738015.1, s__Bacillus stercoris, 95.0, 80.58, 0.179; GCF_031316495.1, s__Bacillus spizizenii, 95.0, 80.54, 0.186; GCA_026790065.1, s__Bacillus sp026790065, 95.0, 80.5, 0.182; GCF_031316635.1, s__Bacillus mojavensis, 95.47, 80.44, 0.191; GCA_020223575.2, s__Bacillus mexicanus, 95.0, 80.14, 0.168; GCF_001584335.1, s__Bacillus atrophaeus, 95.0, 79.98, 0.169	95.83	11	N/A	N/A
HN00196390_F2151	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	GCF_001461825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	98.08	0.928	GCF_001461825.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	98.08	0.928	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000262045.1, s__Bacillus siamensis, 95.0, 94.31, 0.909; GCF_000196735.1, s__Bacillus amyloliquefaciens, 95.0, 93.85, 0.866; GCF_001584325.1, s__Bacillus nakamurai, 95.0, 87.59, 0.691; GCF_018613535.1, s__Bacillus sp018613535, 95.0, 87.47, 0.695; GCF_004124315.2, s__Bacillus cabrialesii, 95.0, 81.47, 0.208; GCF_000009045.1, s__Bacillus subtilis, 95.0, 81.35, 0.184; GCF_040784915.1, s__Bacillus subtilis_G, 95.0, 81.01, 0.189; GCF_001517105.1, s__Bacillus halotolerans, 95.0, 80.92, 0.211; GCF_004116955.1, s__Bacillus vallismortis, 95.0, 80.91, 0.177; GCF_000332645.1, s__Bacillus inaquosorum, 95.0, 80.79, 0.196; GCF_031317525.1, s__Bacillus tequilensis, 95.0, 80.76, 0.196; GCF_031316495.1, s__Bacillus spizizenii, 95.0, 80.63, 0.18; GCF_000738015.1, s__Bacillus stercoris, 95.0, 80.58, 0.171; GCF_031316635.1, s__Bacillus mojavensis, 95.47, 80.52, 0.191; GCF_011745685.2, s__Bacillus rugosus, 95.0, 80.44, 0.172; GCA_020223575.2, s__Bacillus mexicanus, 95.0, 80.42, 0.173; GCA_026790065.1, s__Bacillus sp026790065, 95.0, 80.32, 0.185; GCF_001584335.1, s__Bacillus atrophaeus, 95.0, 79.84, 0.17	95.27	11	N/A	N/A
HN00196390_K200109	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	GCF_000193635.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	97.86	0.909	GCF_000193635.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	97.86	0.909	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004521965.1, s__Weissella cibaria_A, 95.0, 93.91, 0.844; GCA_041871065.1, s__Weissella confusa_A, 95.0, 83.95, 0.223; GCF_025908565.2, s__Weissella fermenti, 95.0, 83.37, 0.191; GCF_007991875.1, s__Weissella confusa, 95.0, 82.58, 0.189	95.43	11	N/A	N/A
HN00196390_K200234	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus curvatus	GCF_004101845.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus curvatus	98.91	0.869	GCF_004101845.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus curvatus	98.91	0.869	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_905332535.1, s__Latilactobacillus fragifolii, 95.0, 88.45, 0.609; GCF_001436415.1, s__Latilactobacillus graminis, 95.0, 85.13, 0.409; GCF_002370355.1, s__Latilactobacillus sakei, 95.0, 83.84, 0.204; GCA_002953655.1, s__Latilactobacillus sakei_A, 95.0, 82.82, 0.185	96.17	11	N/A	N/A
HN00196390_K40028	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	GCF_029023865.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	98.93	0.866	GCF_029023865.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	98.93	0.866	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001591705.1, s__Lactococcus cremoris, 95.0, 88.11, 0.583; GCF_014905395.1, s__Lactococcus taiwanensis, 95.0, 85.99, 0.2	97.46	11	N/A	N/A
HN00196390_K40049	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus sakei	GCF_002370355.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus sakei	99.03	0.942	GCF_002370355.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus sakei	99.03	0.942	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002953655.1, s__Latilactobacillus sakei_A, 95.0, 93.12, 0.807; GCF_004101845.1, s__Latilactobacillus curvatus, 95.0, 83.39, 0.206; GCF_905332535.1, s__Latilactobacillus fragifolii, 95.0, 81.29, 0.174	95.91	11	N/A	N/A
